vector size,initial sorting order,sorting algorithm,average runtime (seconds)
1024,ascending,bubble,0.0023532
1024,ascending,insertion,6.4084e-06
1024,ascending,merge,0.000400983
1024,ascending,quick,0.000425992
1024,descending,bubble,0.00402565
1024,descending,insertion,0.00188821
1024,descending,merge,0.000239733
1024,descending,quick,0.000282567
1024,random,bubble,0.00268737
1024,random,insertion,0.000798133
1024,random,merge,0.000252034
1024,random,quick,0.000278733
8192,ascending,bubble,0.0685613
8192,ascending,insertion,3.16752e-05
8192,ascending,merge,0.00165402
8192,ascending,quick,0.00175267
8192,descending,bubble,0.172326
8192,descending,insertion,0.0948337
8192,descending,merge,0.0015808
8192,descending,quick,0.00183284
8192,random,bubble,0.169992
8192,random,insertion,0.0512003
8192,random,merge,0.00200797
8192,random,quick,0.00208107
65536,ascending,bubble,4.32124
65536,ascending,insertion,0.0002248
65536,ascending,merge,0.014281
65536,ascending,quick,0.0158119
65536,descending,bubble,10.9837
65536,descending,insertion,6.12783
65536,descending,merge,0.014319
65536,descending,quick,0.0161321
65536,random,bubble,12.3757
65536,random,insertion,3.05532
65536,random,merge,0.0190271
65536,random,quick,0.0189755
131072,ascending,bubble,17.2661
131072,ascending,insertion,0.00042635
131072,ascending,merge,0.02985
131072,ascending,quick,0.0318877
131072,descending,bubble,43.8714
131072,descending,insertion,24.5322
131072,descending,merge,0.0291317
131072,descending,quick,0.0321073
131072,random,bubble,49.9443
131072,random,insertion,12.1714
131072,random,merge,0.0390475
131072,random,quick,0.0378529
262144,ascending,bubble,68.9154
262144,ascending,insertion,0.000855342
262144,ascending,merge,0.061409
262144,ascending,quick,0.0658224
262144,descending,bubble,177.248
262144,descending,insertion,112.817
262144,descending,merge,0.0606142
262144,descending,quick,0.0656432
262144,random,bubble,201.892
262144,random,insertion,49.1776
262144,random,merge,0.0814875
262144,random,quick,0.0794113
